"CT School Day SAT, 2024-25"
"All Districts, All Subjects, All Students"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Subject","Total Numberof Students","Total NumberTested","CT School Day SATParticipationRate","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
,,"Math",288,282,97.9,282,11,3.9,50,17.7,116,41.1,105,37.2,221,78.4,602
"Windham School District","=""1630011""","ELA",116,105,90.5,105,56,53.3,"*","*",24,22.9,"*","*","*","*",417
,,"Math",116,105,90.5,105,66,62.9,25,23.8,"*","*","*","*",14,13.3,401
"Windsor Locks School District","=""1650011""","ELA",104,95,91.3,95,31,32.6,16,16.8,42,44.2,6,6.3,48,50.5,473
,,"Math",104,95,91.3,95,45,47.4,37,38.9,"*","*","*","*",13,13.7,442
"Windsor School District","=""1640011""","ELA",276,256,92.8,254,74,29.1,68,26.8,91,35.8,21,8.3,112,44.1,470
,,"Math",276,256,92.8,254,90,35.4,110,43.3,47,18.5,7,2.8,54,21.3,451
"Wolcott School District","=""1660011""","ELA",147,140,95.2,140,20,14.3,33,23.6,73,52.1,14,10.0,87,62.1,501
,,"Math",147,140,95.2,140,34,24.3,65,46.4,32,22.9,9,6.4,41,29.3,480
"Woodstock School District","=""1690011""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
,,"Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"

