"Smarter Balanced Assessments, 2024-25"
"All Districts, ELA and Math, All Grades, All Students"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Grade","Subject","Total Number of Students","Total Number Tested","Smarter Balanced Participation Rate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Average VSS"
,,,"Math",51,51,100.0,51,14,27.5,10,19.6,19,37.3,8,15.7,27,52.9,2552
,,"08","ELA",58,58,100.0,58,"*","*",16,27.6,30,51.7,"*","*","*","*",2578
,,,"Math",58,58,100.0,58,16,27.6,14,24.1,19,32.8,9,15.5,28,48.3,2564
"Canton School District","=""0230011""","03","ELA",105,105,100.0,105,12,11.4,38,36.2,31,29.5,24,22.9,55,52.4,2444
,,,"Math",105,104,99.0,104,12,11.5,29,27.9,33,31.7,30,28.8,63,60.6,2456
,,"04","ELA",101,100,99.0,100,13,13.0,15,15.0,34,34.0,38,38.0,72,72.0,2504
,,,"Math",101,100,99.0,100,7,7.0,21,21.0,31,31.0,41,41.0,72,72.0,2524
,,"05","ELA",116,116,100.0,116,20,17.2,25,21.6,40,34.5,31,26.7,71,61.2,2522
,,,"Math",116,116,100.0,116,19,16.4,28,24.1,39,33.6,30,25.9,69,59.5,2527
,,"06","ELA",108,106,98.1,106,11,10.4,18,17.0,38,35.8,39,36.8,77,72.6,2580
,,,"Math",108,106,98.1,106,12,11.3,22,20.8,30,28.3,42,39.6,72,67.9,2576
,,"07","ELA",97,92,94.8,92,8,8.7,25,27.2,40,43.5,19,20.7,59,64.1,2586
,,,"Math",97,92,94.8,92,19,20.7,19,20.7,32,34.8,22,23.9,54,58.7,2570
,,"08","ELA",118,115,97.5,115,13,11.3,20,17.4,54,47.0,28,24.3,82,71.3,2606
,,,"Math",118,115,97.5,115,26,22.6,28,24.3,18,15.7,43,37.4,61,53.0,2598
"Capital Preparatory Harbor School District","=""2970013""","03","ELA",57,57,100.0,57,28,49.1,16,28.1,"*","*","*","*",13,22.8,2367
,,,"Math",57,57,100.0,57,27,47.4,14,24.6,10,17.5,6,10.5,16,28.1,2395
,,"04","ELA",59,59,100.0,59,26,44.1,11,18.6,12,20.3,10,16.9,22,37.3,2445
,,,"Math",59,59,100.0,59,29,49.2,"*","*",15,25.4,"*","*","*","*",2423
,,"05","ELA",62,62,100.0,62,27,43.5,"*","*",18,29.0,"*","*","*","*",2452
,,,"Math",62,62,100.0,62,45,72.6,12,19.4,"*","*","*","*","*","*",2422
,,"06","ELA",60,60,100.0,60,20,33.3,16,26.7,14,23.3,10,16.7,24,40.0,2509
,,,"Math",60,60,100.0,59,28,47.5,20,33.9,"*","*","*","*",11,18.6,2471
,,"07","ELA",54,54,100.0,54,16,29.6,17,31.5,15,27.8,6,11.1,21,38.9,2522
,,,"Math",54,54,100.0,54,25,46.3,21,38.9,"*","*","*","*","*","*",2480
,,"08","ELA",67,67,100.0,67,13,19.4,25,37.3,19,28.4,10,14.9,29,43.3,2564
,,,"Math",67,67,100.0,67,34,50.7,21,31.3,"*","*","*","*",12,17.9,2502
"Capitol Region Education Council","=""2410014""","03","ELA",565,555,98.2,555,261,47.0,127,22.9,97,17.5,70,12.6,167,30.1,2383
,,,"Math",565,552,97.7,552,242,43.8,128,23.2,112,20.3,70,12.7,182,33.0,2398
,,"04","ELA",558,552,98.9,552,266,48.2,120,21.7,90,16.3,76,13.8,166,30.1,2423
,,,"Math",557,548,98.4,548,225,41.1,161,29.4,101,18.4,61,11.1,162,29.6,2432
,,"05","ELA",563,550,97.7,550,250,45.5,112,20.4,101,18.4,87,15.8,188,34.2,2458
,,,"Math",562,549,97.7,549,253,46.1,140,25.5,87,15.8,69,12.6,156,28.4,2466
,,"06","ELA",672,665,99.0,665,330,49.6,152,22.9,120,18.0,63,9.5,183,27.5,2469
,,,"Math",672,664,98.8,664,414,62.3,127,19.1,74,11.1,49,7.4,123,18.5,2441
,,"07","ELA",679,664,97.8,664,327,49.2,169,25.5,132,19.9,36,5.4,168,25.3,2478
,,,"Math",678,659,97.2,659,419,63.6,145,22.0,61,9.3,34,5.2,95,14.4,2455
,,"08","ELA",648,628,96.9,628,254,40.4,169,26.9,153,24.4,52,8.3,205,32.6,2516
,,,"Math",648,615,94.9,615,401,65.2,124,20.2,56,9.1,34,5.5,90,14.6,2473
"Chaplin School District","=""0240011""","03","ELA",21,20,95.2,20,7,35.0,6,30.0,"*","*","*","*",7,35.0,2406
,,,"Math",21,20,95.2,20,"*","*","*","*",7,35.0,6,30.0,13,65.0,2468
,,"04","ELA",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
,,,"Math",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
,,"05","ELA",24,24,100.0,24,10,41.7,"*","*",6,25.0,"*","*","*","*",2461
,,,"Math",23,23,100.0,23,7,30.4,"*","*",8,34.8,"*","*","*","*",2510
,,"06","ELA",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
,,,"Math",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","03","ELA",377,369,97.9,369,35,9.5,79,21.4,89,24.1,166,45.0,255,69.1,2471
,,,"Math",377,369,97.9,369,29,7.9,54,14.6,128,34.7,158,42.8,286,77.5,2486
,,"04","ELA",319,318,99.7,318,29,9.1,54,17.0,83,26.1,152,47.8,235,73.9,2522
,,,"Math",319,318,99.7,318,20,6.3,66,20.8,108,34.0,124,39.0,232,73.0,2525
,,"05","ELA",313,308,98.4,308,19,6.2,35,11.4,74,24.0,180,58.4,254,82.5,2590
,,,"Math",313,308,98.4,308,16,5.2,36,11.7,57,18.5,199,64.6,256,83.1,2599
,,"06","ELA",345,344,99.7,344,14,4.1,55,16.0,134,39.0,141,41.0,275,79.9,2596
,,,"Math",345,344,99.7,344,23,6.7,54,15.7,81,23.5,186,54.1,267,77.6,2611
,,"07","ELA",338,333,98.5,333,24,7.2,44,13.2,116,34.8,149,44.7,265,79.6,2622
,,,"Math",338,332,98.2,332,32,9.6,50,15.1,73,22.0,177,53.3,250,75.3,2632
,,"08","ELA",323,321,99.4,321,17,5.3,50,15.6,135,42.1,119,37.1,254,79.1,2634
,,,"Math",324,322,99.4,322,34,10.6,54,16.8,73,22.7,161,50.0,234,72.7,2646
"Chester School District","=""0260011""","03","ELA",36,35,97.2,35,"*","*",9,25.7,"*","*",14,40.0,"*","*",2471
,,,"Math",36,35,97.2,35,"*","*","*","*",12,34.3,15,42.9,27,77.1,2493
,,"04","ELA",24,24,100.0,24,"*","*","*","*","*","*",13,54.2,"*","*",2518
,,,"Math",24,24,100.0,24,"*","*","*","*","*","*","*","*","*","*",2517
,,"05","ELA",34,34,100.0,34,"*","*","*","*",12,35.3,12,35.3,24,70.6,2544
,,,"Math",34,34,100.0,34,"*","*",11,32.4,"*","*",17,50.0,"*","*",2570
,,"06","ELA",24,23,95.8,23,"*","*","*","*","*","*",10,43.5,"*","*",2587
,,,"Math",24,23,95.8,23,"*","*",8,34.8,8,34.8,"*","*","*","*",2557
"Clinton School District","=""0270011""","03","ELA",103,103,100.0,103,16,15.5,27,26.2,31,30.1,29,28.2,60,58.3,2443
,,,"Math",103,103,100.0,103,12,11.7,21,20.4,36,35.0,34,33.0,70,68.0,2462
,,"04","ELA",105,105,100.0,105,30,28.6,23,21.9,22,21.0,30,28.6,52,49.5,2474
,,,"Math",105,105,100.0,105,11,10.5,35,33.3,29,27.6,30,28.6,59,56.2,2500
,,"05","ELA",89,88,98.9,88,24,27.3,30,34.1,20,22.7,14,15.9,34,38.6,2483
,,,"Math",89,88,98.9,88,22,25.0,27,30.7,17,19.3,22,25.0,39,44.3,2514
,,"06","ELA",107,107,100.0,107,17,15.9,35,32.7,34,31.8,21,19.6,55,51.4,2537
,,,"Math",107,107,100.0,107,18,16.8,37,34.6,33,30.8,19,17.8,52,48.6,2540
,,"07","ELA",109,109,100.0,109,29,26.6,30,27.5,37,33.9,13,11.9,50,45.9,2541
,,,"Math",109,109,100.0,109,23,21.1,32,29.4,28,25.7,26,23.9,54,49.5,2554
,,"08","ELA",94,92,97.9,92,13,14.1,26,28.3,36,39.1,17,18.5,53,57.6,2577
,,,"Math",94,92,97.9,92,14,15.2,13,14.1,32,34.8,33,35.9,65,70.7,2610
"Colchester School District","=""0280011""","03","ELA",182,181,99.5,181,38,21.0,45,24.9,41,22.7,57,31.5,98,54.1,2442
,,,"Math",182,180,98.9,180,31,17.2,42,23.3,56,31.1,51,28.3,107,59.4,2453
,,"04","ELA",176,176,100.0,176,27,15.3,49,27.8,43,24.4,57,32.4,100,56.8,2489
,,,"Math",176,176,100.0,176,14,8.0,46,26.1,60,34.1,56,31.8,116,65.9,2505
,,"05","ELA",152,152,100.0,152,16,10.5,41,27.0,40,26.3,55,36.2,95,62.5,2543
,,,"Math",152,152,100.0,152,27,17.8,37,24.3,39,25.7,49,32.2,88,57.9,2537
,,"06","ELA",145,144,99.3,144,35,24.3,40,27.8,43,29.9,26,18.1,69,47.9,2527
,,,"Math",145,144,99.3,144,19,13.2,37,25.7,45,31.3,43,29.9,88,61.1,2566
,,"07","ELA",144,142,98.6,142,20,14.1,35,24.6,65,45.8,22,15.5,87,61.3,2568
,,,"Math",144,142,98.6,142,14,9.9,36,25.4,50,35.2,42,29.6,92,64.8,2592
,,"08","ELA",161,160,99.4,160,12,7.5,39,24.4,76,47.5,33,20.6,109,68.1,2600
,,,"Math",161,160,99.4,160,21,13.1,39,24.4,30,18.8,70,43.8,100,62.5,2620
"Colebrook School District","=""0290011""","03","ELA",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
,,,"Math",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
,,"04","ELA",8,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
,,,"Math",8,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
,,"05","ELA",15,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
,,,"Math",15,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
,,"06","ELA",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
,,,"Math",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","03","ELA",39,32,82.1,32,7,21.9,9,28.1,8,25.0,8,25.0,16,50.0,2436
,,,"Math",39,31,79.5,31,"*","*",10,32.3,"*","*",11,35.5,"*","*",2460
,,"04","ELA",41,39,95.1,39,13,33.3,10,25.6,6,15.4,10,25.6,16,41.0,2455
,,,"Math",41,39,95.1,39,"*","*","*","*",16,41.0,9,23.1,25,64.1,2489
,,"05","ELA",53,53,100.0,53,15,28.3,7,13.2,18,34.0,13,24.5,31,58.5,2506
,,,"Math",53,53,100.0,53,17,32.1,17,32.1,8,15.1,11,20.8,19,35.8,2504
,,"06","ELA",48,44,91.7,44,11,25.0,12,27.3,11,25.0,10,22.7,21,47.7,2526
,,,"Math",48,44,91.7,44,11,25.0,15,34.1,7,15.9,11,25.0,18,40.9,2532
,,"07","ELA",58,56,96.6,56,7,12.5,17,30.4,21,37.5,11,19.6,32,57.1,2574
,,,"Math",58,56,96.6,56,10,17.9,19,33.9,12,21.4,15,26.8,27,48.2,2570
,,"08","ELA",51,50,98.0,50,9,18.0,12,24.0,22,44.0,7,14.0,29,58.0,2575
,,,"Math",51,50,98.0,50,13,26.0,12,24.0,13,26.0,12,24.0,25,50.0,2570
"Cooperative Educational Services","=""2430014""","03","ELA",59,59,100.0,59,31,52.5,14,23.7,"*","*","*","*",14,23.7,2370
,,,"Math",59,59,100.0,59,19,32.2,19,32.2,"*","*","*","*",21,35.6,2409
,,"04","ELA",49,48,98.0,48,19,39.6,15,31.3,"*","*","*","*",14,29.2,2431
,,,"Math",49,48,98.0,48,14,29.2,21,43.8,"*","*","*","*",13,27.1,2443
,,"05","ELA",43,43,100.0,43,16,37.2,7,16.3,12,27.9,8,18.6,20,46.5,2481
,,,"Math",43,43,100.0,43,13,30.2,12,27.9,9,20.9,9,20.9,18,41.9,2500
,,"06","ELA",38,36,94.7,36,"*","*",10,27.8,14,38.9,"*","*","*","*",2505
,,,"Math",38,36,94.7,36,11,30.6,"*","*",13,36.1,"*","*","*","*",2507
,,"07","ELA",41,40,97.6,40,13,32.5,"*","*",14,35.0,"*","*","*","*",2516
,,,"Math",41,40,97.6,40,13,32.5,12,30.0,7,17.5,8,20.0,15,37.5,2525
,,"08","ELA",38,37,97.4,37,13,35.1,13,35.1,"*","*","*","*",11,29.7,2533
,,,"Math",38,37,97.4,37,21,56.8,"*","*",7,18.9,"*","*","*","*",2487
"Cornwall School District","=""0310011""","03","ELA",10,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
,,,"Math",10,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
,,"04","ELA",12,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
,,,"Math",12,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
,,"05","ELA",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
,,,"Math",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
,,"06","ELA",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
,,,"Math",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
,,"07","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
,,,"Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
,,"08","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
,,,"Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","03","ELA",123,123,100.0,123,15,12.2,25,20.3,34,27.6,49,39.8,83,67.5,2463
,,,"Math",123,123,100.0,123,24,19.5,20,16.3,38,30.9,41,33.3,79,64.2,2460
,,"04","ELA",127,127,100.0,127,12,9.4,22,17.3,33,26.0,60,47.2,93,73.2,2522
,,,"Math",127,127,100.0,127,7,5.5,37,29.1,43,33.9,40,31.5,83,65.4,2515
,,"05","ELA",114,113,99.1,113,10,8.8,18,15.9,41,36.3,44,38.9,85,75.2,2560
,,,"Math",114,113,99.1,113,7,6.2,14,12.4,33,29.2,59,52.2,92,81.4,2574
,,"06","ELA",104,103,99.0,103,12,11.7,15,14.6,49,47.6,27,26.2,76,73.8,2568
,,,"Math",103,101,98.1,101,19,18.8,28,27.7,25,24.8,29,28.7,54,53.5,2551
,,"07","ELA",133,131,98.5,131,13,9.9,14,10.7,60,45.8,44,33.6,104,79.4,2608
,,,"Math",133,130,97.7,130,15,11.5,28,21.5,41,31.5,46,35.4,87,66.9,2594
,,"08","ELA",121,121,100.0,121,16,13.2,18,14.9,54,44.6,33,27.3,87,71.9,2609
,,,"Math",121,120,99.2,120,24,20.0,34,28.3,26,21.7,36,30.0,62,51.7,2589
"Cromwell School District","=""0330011""","03","ELA",135,132,97.8,132,29,22.0,37,28.0,37,28.0,29,22.0,66,50.0,2425
,,,"Math",135,132,97.8,132,27,20.5,25,18.9,40,30.3,40,30.3,80,60.6,2452
,,"04","ELA",154,154,100.0,154,35,22.7,38,24.7,36,23.4,45,29.2,81,52.6,2477
,,,"Math",154,154,100.0,154,30,19.5,37,24.0,48,31.2,39,25.3,87,56.5,2489
,,"05","ELA",145,141,97.2,141,29,20.6,24,17.0,41,29.1,47,33.3,88,62.4,2528
,,,"Math",145,141,97.2,141,30,21.3,37,26.2,29,20.6,45,31.9,74,52.5,2530
,,"06","ELA",135,134,99.3,134,20,14.9,26,19.4,52,38.8,36,26.9,88,65.7,2556
,,,"Math",135,133,98.5,133,19,14.3,40,30.1,36,27.1,38,28.6,74,55.6,2559
,,"07","ELA",154,150,97.4,150,23,15.3,30,20.0,58,38.7,39,26.0,97,64.7,2579
,,,"Math",154,150,97.4,150,31,20.7,36,24.0,30,20.0,53,35.3,83,55.3,2579
,,"08","ELA",166,164,98.8,164,21,12.8,29,17.7,79,48.2,35,21.3,114,69.5,2597
,,,"Math",166,163,98.2,163,48,29.4,47,28.8,38,23.3,30,18.4,68,41.7,2562
"Danbury School District","=""0340011""","03","ELA",988,987,99.9,987,394,39.9,272,27.6,172,17.4,149,15.1,321,32.5,2393
,,,"Math",988,987,99.9,987,321,32.5,232,23.5,252,25.5,182,18.4,434,44.0,2421
,,"04","ELA",924,922,99.8,922,433,47.0,165,17.9,176,19.1,148,16.1,324,35.1,2428
,,,"Math",924,922,99.8,922,283,30.7,260,28.2,214,23.2,165,17.9,379,41.1,2460
,,"05","ELA",855,853,99.8,853,377,44.2,163,19.1,185,21.7,128,15.0,313,36.7,2464
,,,"Math",855,853,99.8,853,304,35.6,252,29.5,150,17.6,147,17.2,297,34.8,2490
,,"06","ELA",892,888,99.6,888,354,39.9,254,28.6,212,23.9,68,7.7,280,31.5,2480
,,,"Math",892,887,99.4,887,444,50.1,273,30.8,104,11.7,66,7.4,170,19.2,2468
,,"07","ELA",899,896,99.7,896,390,43.5,230,25.7,197,22.0,79,8.8,276,30.8,2495
,,,"Math",899,893,99.3,893,469,52.5,238,26.7,114,12.8,72,8.1,186,20.8,2481
,,"08","ELA",883,880,99.7,880,352,40.0,226,25.7,229,26.0,73,8.3,302,34.3,2514
,,,"Math",883,880,99.7,880,534,60.7,181,20.6,97,11.0,68,7.7,165,18.8,2486
"Darien School District","=""0350011""","03","ELA",362,361,99.7,361,17,4.7,49,13.6,91,25.2,204,56.5,295,81.7,2494
,,,"Math",362,361,99.7,361,16,4.4,29,8.0,111,30.7,205,56.8,316,87.5,2508
,,"04","ELA",344,344,100.0,344,21,6.1,35,10.2,82,23.8,206,59.9,288,83.7,2547
,,,"Math",344,344,100.0,344,6,1.7,40,11.6,98,28.5,200,58.1,298,86.6,2558
,,"05","ELA",369,369,100.0,369,26,7.0,36,9.8,104,28.2,203,55.0,307,83.2,2580
,,,"Math",369,369,100.0,369,24,6.5,47,12.7,68,18.4,230,62.3,298,80.8,2588
,,"06","ELA",343,343,100.0,343,22,6.4,37,10.8,131,38.2,153,44.6,284,82.8,2599
,,,"Math",343,343,100.0,343,22,6.4,45,13.1,85,24.8,191,55.7,276,80.5,2612
,,"07","ELA",338,336,99.4,336,22,6.5,31,9.2,126,37.5,157,46.7,283,84.2,2628
,,,"Math",338,336,99.4,336,19,5.7,33,9.8,78,23.2,206,61.3,284,84.5,2649
,,"08","ELA",357,354,99.2,354,17,4.8,34,9.6,148,41.8,155,43.8,303,85.6,2648
,,,"Math",357,354,99.2,354,26,7.3,54,15.3,77,21.8,197,55.6,274,77.4,2656
"Deep River School District","=""0360011""","03","ELA",32,32,100.0,32,7,21.9,7,21.9,"*","*","*","*",18,56.3,2437
,,,"Math",32,32,100.0,32,"*","*","*","*",7,21.9,14,43.8,21,65.6,2473
,,"04","ELA",26,26,100.0,26,6,23.1,"*","*","*","*",10,38.5,"*","*",2485
,,,"Math",26,26,100.0,26,"*","*","*","*",11,42.3,"*","*","*","*",2515
,,"05","ELA",28,28,100.0,28,"*","*",0,0.0,12,42.9,"*","*","*","*",2558
,,,"Math",28,28,100.0,28,"*","*","*","*",8,28.6,13,46.4,21,75.0,2567
,,"06","ELA",23,23,100.0,23,"*","*","*","*",13,56.5,"*","*","*","*",2554
,,,"Math",23,23,100.0,23,"*","*",6,26.1,10,43.5,"*","*","*","*",2536
"Derby School District","=""0370011""","03","ELA",121,121,100.0,121,42,34.7,48,39.7,19,15.7,12,9.9,31,25.6,2387
,,,"Math",121,120,99.2,120,42,35.0,26,21.7,33,27.5,19,15.8,52,43.3,2414
,,"04","ELA",96,96,100.0,96,49,51.0,18,18.8,17,17.7,12,12.5,29,30.2,2424
,,,"Math",96,96,100.0,96,27,28.1,40,41.7,19,19.8,10,10.4,29,30.2,2448
,,"05","ELA",83,83,100.0,83,38,45.8,15,18.1,21,25.3,9,10.8,30,36.1,2459
,,,"Math",83,83,100.0,83,42,50.6,24,28.9,9,10.8,8,9.6,17,20.5,2456
,,"06","ELA",110,110,100.0,110,46,41.8,31,28.2,23,20.9,10,9.1,33,30.0,2482
,,,"Math",111,110,99.1,110,60,54.5,32,29.1,"*","*","*","*",18,16.4,2453
,,"07","ELA",98,98,100.0,98,35,35.7,28,28.6,29,29.6,6,6.1,35,35.7,2510
,,,"Math",98,98,100.0,98,62,63.3,25,25.5,"*","*","*","*",11,11.2,2461
,,"08","ELA",101,100,99.0,100,35,35.0,16,16.0,39,39.0,10,10.0,49,49.0,2532
,,,"Math",101,99,98.0,99,58,58.6,24,24.2,"*","*","*","*",17,17.2,2487
"East Granby School District","=""0400011""","03","ELA",62,62,100.0,62,"*","*","*","*",19,30.6,26,41.9,45,72.6,2468
,,,"Math",62,61,98.4,61,"*","*","*","*",17,27.9,33,54.1,50,82.0,2496
,,"04","ELA",66,66,100.0,66,14,21.2,9,13.6,14,21.2,29,43.9,43,65.2,2500
,,,"Math",66,66,100.0,66,10,15.2,17,25.8,16,24.2,23,34.8,39,59.1,2503
,,"05","ELA",61,60,98.4,60,"*","*","*","*",17,28.3,28,46.7,45,75.0,2569
,,,"Math",61,60,98.4,60,"*","*",18,30.0,"*","*",29,48.3,"*","*",2564
,,"06","ELA",64,64,100.0,64,6,9.4,11,17.2,25,39.1,22,34.4,47,73.4,2576
,,,"Math",64,64,100.0,64,13,20.3,15,23.4,18,28.1,18,28.1,36,56.3,2548
,,"07","ELA",80,80,100.0,80,"*","*","*","*",30,37.5,30,37.5,60,75.0,2606
,,,"Math",80,80,100.0,80,17,21.3,16,20.0,19,23.8,28,35.0,47,58.8,2587
,,"08","ELA",71,71,100.0,71,"*","*","*","*",25,35.2,27,38.0,52,73.2,2630
,,,"Math",71,71,100.0,71,21,29.6,"*","*",20,28.2,"*","*","*","*",2574
"East Haddam School District","=""0410011""","03","ELA",68,68,100.0,68,8,11.8,15,22.1,22,32.4,23,33.8,45,66.2,2459
,,,"Math",68,68,100.0,68,9,13.2,12,17.6,24,35.3,23,33.8,47,69.1,2467
,,"04","ELA",72,70,97.2,70,16,22.9,12,17.1,21,30.0,21,30.0,42,60.0,2482
,,,"Math",72,70,97.2,70,10,14.3,18,25.7,29,41.4,13,18.6,42,60.0,2487
,,"05","ELA",64,62,96.9,62,16,25.8,7,11.3,21,33.9,18,29.0,39,62.9,2522
,,,"Math",64,62,96.9,62,13,21.0,13,21.0,21,33.9,15,24.2,36,58.1,2531
,,"06","ELA",67,67,100.0,67,14,20.9,19,28.4,17,25.4,17,25.4,34,50.7,2533
,,,"Math",67,67,100.0,67,21,31.3,16,23.9,19,28.4,11,16.4,30,44.8,2524
,,"07","ELA",79,76,96.2,76,17,22.4,21,27.6,22,28.9,16,21.1,38,50.0,2558
,,,"Math",79,76,96.2,76,18,23.7,22,28.9,13,17.1,23,30.3,36,47.4,2564
,,"08","ELA",67,66,98.5,66,19,28.8,18,27.3,21,31.8,8,12.1,29,43.9,2560
,,,"Math",67,66,98.5,66,17,25.8,20,30.3,17,25.8,12,18.2,29,43.9,2562
"East Hampton School District","=""0420011""","03","ELA",104,101,97.1,101,21,20.8,23,22.8,26,25.7,31,30.7,57,56.4,2443
,,,"Math",104,101,97.1,101,15,14.9,10,9.9,42,41.6,34,33.7,76,75.2,2469
,,"04","ELA",123,122,99.2,122,10,8.2,29,23.8,40,32.8,43,35.2,83,68.0,2508
,,,"Math",123,122,99.2,122,7,5.7,27,22.1,43,35.2,45,36.9,88,72.1,2524
,,"05","ELA",123,122,99.2,122,15,12.3,19,15.6,38,31.1,50,41.0,88,72.1,2549
,,,"Math",123,122,99.2,122,22,18.0,29,23.8,30,24.6,41,33.6,71,58.2,2533
,,"06","ELA",125,124,99.2,124,19,15.3,30,24.2,52,41.9,23,18.5,75,60.5,2544
,,,"Math",125,123,98.4,123,24,19.5,36,29.3,35,28.5,28,22.8,63,51.2,2536
,,"07","ELA",132,128,97.0,128,13,10.2,37,28.9,53,41.4,25,19.5,78,60.9,2572
,,,"Math",132,128,97.0,128,26,20.3,46,35.9,31,24.2,25,19.5,56,43.8,2549
,,"08","ELA",147,146,99.3,146,22,15.1,40,27.4,62,42.5,22,15.1,84,57.5,2580
,,,"Math",147,145,98.6,145,31,21.4,40,27.6,40,27.6,34,23.4,74,51.0,2578
"East Hartford School District","=""0430011""","03","ELA",458,458,100.0,457,162,35.4,122,26.7,80,17.5,93,20.4,173,37.9,2404
,,,"Math",457,457,100.0,457,169,37.0,107,23.4,93,20.4,88,19.3,181,39.6,2413
,,"04","ELA",455,453,99.6,453,191,42.2,85,18.8,99,21.9,78,17.2,177,39.1,2437
,,,"Math",454,452,99.6,452,138,30.5,136,30.1,118,26.1,60,13.3,178,39.4,2455
,,"05","ELA",452,452,100.0,452,187,41.4,82,18.1,108,23.9,75,16.6,183,40.5,2470
,,,"Math",453,453,100.0,453,178,39.3,124,27.4,71,15.7,80,17.7,151,33.3,2484
,,"06","ELA",442,433,98.0,432,141,32.6,112,25.9,126,29.2,53,12.3,179,41.4,2500
,,,"Math",442,434,98.2,434,161,37.1,129,29.7,98,22.6,46,10.6,144,33.2,2495
,,"07","ELA",462,457,98.9,457,164,35.9,111,24.3,131,28.7,51,11.2,182,39.8,2516
,,,"Math",463,455,98.3,455,228,50.1,109,24.0,60,13.2,58,12.7,118,25.9,2490
,,"08","ELA",439,436,99.3,436,183,42.0,104,23.9,111,25.5,38,8.7,149,34.2,2518
,,,"Math",439,432,98.4,431,216,50.1,85,19.7,74,17.2,56,13.0,130,30.2,2515
"East Haven School District","=""0440011""","03","ELA",191,190,99.5,190,73,38.4,60,31.6,36,18.9,21,11.1,57,30.0,2392
,,,"Math",191,190,99.5,190,79,41.6,46,24.2,43,22.6,22,11.6,65,34.2,2404
,,"04","ELA",187,187,100.0,187,73,39.0,35,18.7,48,25.7,31,16.6,79,42.2,2446
,,,"Math",187,187,100.0,187,54,28.9,69,36.9,48,25.7,16,8.6,64,34.2,2455
,,"05","ELA",172,172,100.0,172,60,34.9,52,30.2,41,23.8,19,11.0,60,34.9,2475
,,,"Math",172,172,100.0,172,58,33.7,64,37.2,26,15.1,24,14.0,50,29.1,2487
,,"06","ELA",211,210,99.5,210,69,32.9,60,28.6,63,30.0,18,8.6,81,38.6,2496
,,,"Math",211,210,99.5,210,95,45.2,69,32.9,25,11.9,21,10.0,46,21.9,2482
,,"07","ELA",179,178,99.4,178,56,31.5,48,27.0,52,29.2,22,12.4,74,41.6,2526
,,,"Math",180,177,98.3,177,76,42.9,42,23.7,37,20.9,22,12.4,59,33.3,2509
,,"08","ELA",203,198,97.5,198,66,33.3,49,24.7,60,30.3,23,11.6,83,41.9,2539
,,,"Math",203,196,96.6,196,100,51.0,52,26.5,20,10.2,24,12.2,44,22.4,2508
"East Lyme School District","=""0450011""","03","ELA",183,174,95.1,174,22,12.6,23,13.2,47,27.0,82,47.1,129,74.1,2472
,,,"Math",183,175,95.6,175,20,11.4,17,9.7,58,33.1,80,45.7,138,78.9,2484
,,"04","ELA",165,158,95.8,158,19,12.0,19,12.0,48,30.4,72,45.6,120,75.9,2523
,,,"Math",165,158,95.8,158,8,5.1,29,18.4,44,27.8,77,48.7,121,76.6,2538
,,"05","ELA",187,176,94.1,176,35,19.9,36,20.5,54,30.7,51,29.0,105,59.7,2521
,,,"Math",187,175,93.6,175,41,23.4,48,27.4,43,24.6,43,24.6,86,49.1,2521
,,"06","ELA",174,165,94.8,165,21,12.7,38,23.0,61,37.0,45,27.3,106,64.2,2563
,,,"Math",174,164,94.3,164,25,15.2,43,26.2,38,23.2,58,35.4,96,58.5,2568
,,"07","ELA",163,156,95.7,156,19,12.2,28,17.9,73,46.8,36,23.1,109,69.9,2581
