Indicator Category,Indicator Name,School / District,School / District Level,School / District Type,Region,Entity ID,Entity Name,Category,2024,2023,2022
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,559,Wentworth,Achievement,51.00%,47.00%,48.00%
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,582,Winnisquam Regional,Achievement,43.00%,42.00%,42.00%
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,704,Mountain Village Charter School,Achievement,62.00%,66.00%,62.00%
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,723,CSI Charter School,Achievement,NA,*N,*N
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,725,Academy for Science and Design Charter School,Achievement,83.00%,87.00%,83.00%
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,726,Benjamin Franklin Academy Chartered Public School,Achievement,30.00%,,
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,743,Compass Classical Academy Charter School,Achievement,27.00%,22.00%,29.00%
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,744,MicroSociety Academy Charter School Foundation,Achievement,58.00%,56.00%,60.00%
Achievement,Proficiency - ELA (%),District,District,District,Lakes Region,970,Prospect Mountain JMA,Achievement,58.00%,69.00%,61.00%
Achievement,Proficiency - ELA (%),District,District,District,North Country,35,Bartlett,Achievement,45.00%,41.00%,49.00%
Achievement,Proficiency - ELA (%),District,District,District,North Country,39,Bath,Achievement,45.00%,46.00%,46.00%
Achievement,Proficiency - ELA (%),District,District,District,North Country,47,Benton,Achievement,,,NA
Achievement,Proficiency - ELA (%),District,District,District,North Country,51,Berlin,Achievement,33.00%,31.00%,35.00%
Achievement,Proficiency - ELA (%),District,District,District,North Country,53,Bethlehem,Achievement,75.00%,70.00%,61.00%
Achievement,Proficiency - ELA (%),District,District,District,North Country,91,Chatham,Achievement,NA,NA,NA
Achievement,Proficiency - ELA (%),District,District,District,North Country,103,Clarksville,Achievement,NA,NA,
Achievement,Proficiency - ELA (%),District,District,District,North Country,105,Colebrook,Achievement,47.00%,37.00%,42.00%
Achievement,Proficiency - ELA (%),District,District,District,North Country,113,Conway,Achievement,49.00%,51.00%,49.00%
Achievement,Proficiency - ELA (%),District,District,District,North Country,159,Eaton,Achievement,,,NA
Achievement,Proficiency - ELA (%),District,District,District,North Country,171,Errol,Achievement,*N,*N,*N
Achievement,Proficiency - ELA (%),District,District,District,North Country,203,Gorham Randolph Shelburne Cooperative,Achievement,51.00%,50.00%,50.00%
Achievement,Proficiency - ELA (%),District,District,District,North Country,222,Hale's Location (Carroll County),Achievement,NA,NA,
Achievement,Proficiency - ELA (%),District,District,District,North Country,238,Haverhill Cooperative,Achievement,42.00%,45.00%,48.00%
Achievement,Proficiency - ELA (%),District,District,District,North Country,271,Jackson,Achievement,58.00%,73.00%,67.00%
Achievement,Proficiency - ELA (%),District,District,District,North Country,288,Lafayette Regional,Achievement,79.00%,77.00%,81.00%
Achievement,Proficiency - ELA (%),District,District,District,North Country,291,Landaff,Achievement,*N,*N,*N
Achievement,Proficiency - ELA (%),District,District,District,North Country,305,Lincoln-Woodstock Cooperative,Achievement,54.00%,60.00%,53.00%
Achievement,Proficiency - ELA (%),District,District,District,North Country,306,Lisbon Regional,Achievement,45.00%,48.00%,36.00%
Achievement,Proficiency - ELA (%),District,District,District,North Country,317,Littleton,Achievement,49.00%,51.00%,51.00%
Achievement,Proficiency - ELA (%),District,District,District,North Country,355,Milan,Achievement,36.00%,43.00%,61.00%
Achievement,Proficiency - ELA (%),District,District,District,North Country,365,Monroe,Achievement,52.00%,44.00%,52.00%
Achievement,Proficiency - ELA (%),District,District,District,North Country,407,Northumberland,Achievement,38.00%,45.00%,45.00%
Achievement,Proficiency - ELA (%),District,District,District,North Country,435,Piermont,Achievement,65.00%,66.00%,84.00%
