"district_code","district","grades_served","district_type","urbanicity","num_schools","num_high_schools","enrollment_2025","enrollment_change_6yr_pct","n_aian","pct_aian","n_aapi","pct_aapi","n_hispanic","pct_hispanic","n_black","pct_black","n_white","pct_white","n_multiracial","pct_multiracial","total","pct_lowinc","n_el","pct_el","pct_sped","n_ela_prof__9_12","pct_ela_prof__9_12","n_math_prof__9_12","pct_math_prof__9_12","n_ela_prof__3_8","pct_ela_prof__3_8","n_math_prof__3_8","pct_math_prof__3_8","pct_grad","pct_reg_attend","per_pupil_spending","pct_csi_tsi","pct_lang_eo","pct_lang_spanish","pct_lang_indo","pct_lang_aapi","pct_lang_other","pct_fte_cert"
13,"Tamworth","K-8","Traditional","Rural",1,0,165,-0.11,1,0.01,3,0.02,3,0.02,3,0.02,151,0.92,4,0.02,"165",0.58,2,0.01,0.26,5,NA,5,NA,100,0.32,100,0.22,NA,0.97,34172,0,NA,NA,NA,NA,NA,0.995780548701243
106,"Timberlane Regional","K-12","Traditional","Suburban",7,1,3212,-0.07,7,0,22,0.01,252,0.08,20,0.01,2793,0.87,118,0.04,"3,212",0.13,21,0.01,0.21,212,0.6,212,0.24,1422,0.54,1426,0.43,0.91,0.98,20258,0,0.98,0.01,NA,0,NA,0.910112359550562
101,"Wakefield","K-8","Traditional","Rural",1,0,410,-0.13,0,0,3,0.01,9,0.02,1,0,390,0.95,7,0.02,"410",0.33,0,0,0.21,NA,NA,NA,NA,280,0.34,286,0.25,NA,0.98,19880,0,NA,NA,NA,NA,NA,0.806451612903226
36,"White Mountains Regional","K-12","Traditional","Rural",3,1,883,-0.2,0,0,7,0.01,31,0.04,7,0.01,804,0.91,34,0.04,"883",0.47,9,0.01,0.24,98,0.49,98,0.15,372,0.42,372,0.36,0.91,0.96,23385,0,NA,NA,NA,NA,NA,NA
63,"Wilton","K-12","Traditional","Rural",4,1,527,-0.05,1,0,4,0.01,17,0.03,4,0.01,495,0.94,6,0.01,"527",0.24,0,0,0.21,22,0.58,22,0.25,254,0.5,254,0.31,0.93,0.99,21599,0,NA,NA,NA,NA,NA,NA
94,"Winchester","K-8","Traditional","Rural",1,0,322,-0.23,1,0,1,0,9,0.03,4,0.01,302,0.94,5,0.02,"322",0.48,0,0,0.23,NA,NA,NA,NA,170,0.3,170,0.19,NA,0.2,23651,1,1,NA,NA,NA,NA,1
95,"Windham","K-12","Traditional","Rural",4,1,2893,-0.02,3,0,177,0.06,176,0.06,24,0.01,2325,0.8,188,0.06,"2,893",0.05,2,0.01,0.17,228,0.81,228,0.56,1276,0.72,1276,0.67,0.97,0.98,17560,0,0.94,NA,0.05,0.01,NA,1
21,"Winnacunnet","9-12","Traditional","Suburban",1,1,970,-0.05,2,0,10,0.01,38,0.04,11,0.01,906,0.93,3,0,"970",0.19,8,0.01,0.19,192,0.64,192,0.33,NA,NA,NA,NA,0.91,0.97,26312,0,0.93,0.04,0.02,0,NA,NA
59,"Winnisquam Regional","K-12","Traditional","Rural",5,1,1175,-0.19,1,0,16,0.01,49,0.04,11,0.01,1019,0.87,79,0.07,"1,175",0.38,8,0.01,0.24,72,0.56,72,0.1,520,0.43,520,0.45,0.85,0.97,20975,0,0.99,NA,0.01,NA,NA,0.958677686329865
426,"Arts Academy of New Hampshire Chartered Public High School","9-12","Charter","Suburban",1,1,106,-0.14,0,0,0,0,7,0.07,0,0,97,0.92,2,0.02,"106",0.15,NA,NA,0.14,18,0.83,18,0.11,NA,NA,NA,NA,0.94,1,11826,0,NA,NA,NA,NA,NA,NA
402,"North Country Charter Academy","7-12","Charter","Rural",2,1,50,0.22,0,0,0,0,4,0.08,0,0,45,0.9,1,0.02,"50",0.59,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,0.95,32602,0,NA,NA,NA,NA,NA,1
427,"Mountain Village Charter School","K-8","Charter","Rural",1,0,117,0.29,0,0,0,0,1,0.01,0,0,113,0.96,3,0.03,"117",0.18,0,0,0.2,NA,NA,NA,NA,78,0.66,78,0.27,NA,0.96,10219,0,NA,NA,NA,NA,NA,1
403,"Seacoast Charter School","K-8","Charter","Rural",1,0,287,-0.04,0,0,8,0.03,13,0.05,0,0,257,0.9,9,0.03,"287",0.12,0,0,0.21,NA,NA,NA,NA,180,0.53,180,0.31,NA,0.98,10475,0,NA,NA,NA,NA,NA,0.84
