"state","district","combined_district","supt_first_name","supt_last_name","district_code","grades_served","district_type","urbanicity","num_schools","num_high_schools","enrollment_2025","enrollment_change_6yr_pct","n_aian","n_asian","n_black","n_hispanic","n_multiracial","n_white","n_nhpi","pct_aian","pct_aapi","pct_black","pct_hispanic","pct_multiracial","pct_white","pct_lowinc","pct_el","pct_sped","n_ela_prof_3_8","pct_ela_prof_3_8","n_math_prof_3_8","pct_math_prof_3_8","n_ela_prof_9_12","pct_ela_prof_9_12","n_math_prof_9_12","pct_math_prof_9_12","grad_rate","pct_chronic_absenteeism","per_pupil_spending","pct_csi_tsi","pct_lang_eo","pct_lang_spanish","pct_lang_indo","pct_lang_aapi","pct_lang_other","pct_fte_cert","retention_n","retention_rate"
"Connecticut","Odyssey Community School District","Odyssey Community School District","Sally","Dastoli",2630013,"K-8","Charter","Suburban",1,0,410,0.25,15,105,92,86,15,97,0,0.04,0.26,0.22,0.21,0.04,0.24,0.4,0.09,0.13,119,0.55,111,0.51,NA,NA,NA,NA,NA,0.1,15234,0,NA,NA,NA,NA,NA,1,29,0.91
"Connecticut","Highville Charter School District","Highville Charter School District","Che","Dawson",2860013,"K-12","Charter","Urban",1,1,499,0.08,2,0,411,72,11,2,2,0,0,0.82,0.14,0.02,0,0.71,0.01,0.1,74,0.32,41,0.18,6,0.5,6,0.5,0.82,0.24,13203,0,NA,NA,NA,NA,NA,0.57,23,0.88
"Connecticut","East Haddam School District","East Haddam School District","Teresa","Debrito",410011,"K-12","Traditional","Rural",4,2,954,-0.04,3,6,3,68,25,849,0,0,0.01,0,0.07,0.03,0.89,0.27,0.01,0.14,227,0.56,220,0.54,38,0.64,19,0.32,0.92,0.09,24690,0,0.95,0.01,0.05,NA,NA,1,94,0.92
"Connecticut","Ansonia School District","Ansonia School District","Joseph","DiBacco",20011,"K-12","Traditional","Suburban",7,4,2404,0.05,3,48,522,1184,111,533,3,0,0.02,0.22,0.49,0.05,0.22,0.64,0.08,0.18,294,0.26,250,0.22,70,0.47,14,0.09,0.86,0.23,19869,0.25,0.84,0.13,0.02,0.01,NA,1,152,0.92
"Connecticut","Capitol Region Education Council","Capitol Region Education Council","Sasha","Douglas",2410014,"K-12","Regional","Suburban",23,11,9091,0.05,12,406,2841,4004,536,1281,12,0,0.05,0.31,0.44,0.06,0.14,0.63,0.1,0.23,1077,0.3,808,0.23,212,0.39,44,0.08,0.9,0.28,30781,0.33,NA,NA,NA,NA,NA,1,737,0.92
"Connecticut","Old Saybrook School District","Old Saybrook School District","Chris","Drezek",1060011,"K-12","Traditional","Suburban",3,1,1030,-0.14,0,41,4,159,35,786,4,0,0.04,0,0.15,0.03,0.76,0.23,0.08,0.16,283,0.69,236,0.57,55,0.78,30,0.42,0.95,0.08,27652,0,0.84,0.09,0.05,0.01,NA,1,102,0.86
"Connecticut","Cooperative Educational Services","Cooperative Educational Services","Charles","Dumais",2430014,"K-12","Regional","Urban",7,4,757,-0.12,2,34,171,303,31,213,2,0,0.05,0.23,0.4,0.04,0.28,0.45,0.04,0.41,99,0.38,98,0.37,3,0.5,3,0.5,NA,0.24,38503,0,NA,NA,NA,NA,NA,0.88,97,0.92
"Connecticut","Suffield School District","Suffield School District","Matthew","Dunbar",1390011,"K-12","Traditional","Rural",4,1,2027,-0.05,7,88,83,191,3,1652,3,0,0.04,0.04,0.09,0,0.81,0.15,0.03,0.17,583,0.63,623,0.68,98,0.72,58,0.42,0.96,0.1,20794,0,0.94,0.01,0.03,0.02,NA,1,147,0.87
"Connecticut","The Bridge Academy District","The Bridge Academy District","Tyrone","Elliott",2690013,"7-12","Charter","Urban",1,1,281,0,0,2,140,127,7,2,2,0,0.02,0.5,0.45,0.02,0.01,0.85,0.05,0.17,34,0.36,16,0.17,22,0.48,6,0.13,0.92,0.25,18035,0,NA,NA,NA,NA,NA,1,16,0.94
"Connecticut","Learn","Learn","Kate","Ericson",2450014,"K-12","Regional","Suburban",9,7,1390,-0.45,20,20,117,547,192,494,0,0.01,0.01,0.08,0.39,0.14,0.36,0.59,0.09,0.19,85,0.39,55,0.26,77,0.71,44,0.4,0.97,0.19,24012,0,NA,NA,NA,NA,NA,1,99,0.79
