State,District,Combined District,Supt. First Name,Supt. Last Name,Supt. ID,<- IDs will be added late Sept/early Oct
Maine,RSU 60/MSAD 60,RSU 60/MSAD 60,Audra,Beauvais,,
Maine,East Range CSD,East Range CSD,Amanda,Belanger,,
Maine,Ellsworth Public Schools,Ellsworth Public Schools,Amy,Boles,,
Maine,RSU 30/MSAD 30,RSU 30/MSAD 30,William,Braun,,
Maine,Islesboro Public Schools,Islesboro Public Schools,Cornelia,Brown,,
Maine,Maine Virtual Academy,Maine Virtual Academy,Melinda,Browne,,
Maine,Acadia Academy,Acadia Academy,Heather,Bucklin,,
Maine,RSU 78,RSU 78,Georgia,Campbell,,
Maine,RSU 74/MSAD 74,RSU 74/MSAD 74,Mark,Campbell,,
Maine,Lincolnville Public Schools,Lincolnville Public Schools,Shawn,Carlson,,
Maine,Cutler Public Schools,Cutler Public Schools,Nicole,Case,,
Maine,RSU 35/MSAD 35,RSU 35/MSAD 35,John,Caverly,,
Maine,RSU 38,RSU 38,James,Charette,,
Maine,Milford Public Schools,Milford Public Schools,Patricia,Clark,,
Maine,Education in Unorganized Terr,Education in Unorganized Terr,Richard,Colpitts,,
Maine,RSU 58/MSAD 58,RSU 58/MSAD 58,Laura,Columbia,,
Maine,Andover Public Schools,Andover Public Schools,Leanne,Condon,,
Maine,ME Sch of Science & Mathematics,ME Sch of Science & Mathematics,Robert,Constantine,,
Maine,RSU 21,RSU 21,Terri,Cooper,,
Maine,Fiddlehead School of Arts and Sciences,Fiddlehead School of Arts and Sciences,Jacinda,Cotton-Castro,,
Maine,RSU 34,RSU 34,Matthew,Cyr,,
Maine,Wells-Ogunquit CSD,Wells-Ogunquit CSD,James,Daly,,
Maine,RSU 85/MSAD 19,RSU 85/MSAD 19,Mary,Day,,
Maine,Medway Public Schools,Medway Public Schools,Alyssa,Dickinson,,
Maine,York Public Schools,York Public Schools,Timothy,Doak,,
Maine,Caswell Public Schools,Caswell Public Schools,William,Dobbins,,
Maine,Yarmouth Schools,Yarmouth Schools,Andrew,Dolloff,,
Maine,Auburn Public Schools,Auburn Public Schools,Susan,Dorris,,
Maine,Kittery Public Schools,Kittery Public Schools,JoAnne,Dowd,,
Maine,RSU 67,RSU 67,Chris,Downing,,
Maine,RSU 56,RSU 56,Pamela,Doyen,,
Maine,RSU 88/MSAD 24,RSU 88/MSAD 24,Karen,Dubois,,
Maine,RSU 24,RSU 24,Michael,Eastman,,
Maine,RSU 09,RSU 09,Christian,Elkington,,
Maine,RSU 71,RSU 71,Bob,England,,
Maine,RSU 29/MSAD 29,RSU 29/MSAD 29,Joseph,Fagnant,,
Maine,St George Public Schools,St George Public Schools,Michael,Felton,,
Maine,SAU 53,SAU 53,Jack,Finley,,
Maine,Winthrop Public Schools,Winthrop Public Schools,Becky,Foley,,
Maine,RSU 41/MSAD 41,RSU 41/MSAD 41,Darcie,Fournier,,
Maine,RSU 07/MSAD 07,RSU 07/MSAD 07,Peter,Gallace,,
Maine,RSU 42/MSAD 42,RSU 42/MSAD 42,Heidi,Garrison,,
Maine,RSU 18,RSU 18,Carl,Gartley,,
Maine,RSU 06/MSAD 06,RSU 06/MSAD 06,Clay,Gleason,,
Maine,Lisbon Public Schools,Lisbon Public Schools,Richard,Green,,
Maine,RSU 79/MSAD 01,RSU 79/MSAD 01,Benjamin,Greenlaw,,
Maine,RSU 04,RSU 04,Katherine,Aliberti,,
Maine,RSU 32/MSAD 32,RSU 32/MSAD 32,Joel,Hall,,
Maine,Waterville Public Schools,Waterville Public Schools,Peter,Hallen,,
Maine,Hancock Public Schools,Hancock Public Schools,Ellen,Halliday,,
Maine,RSU 19,RSU 19,Michael,Hammer,,
Maine,RSU 16,RSU 16,Amy,Hediger,,
Maine,RSU 49/MSAD 49,RSU 49/MSAD 49,Roberta,Hersom,,
Maine,Ecology Learning Center,Ecology Learning Center,Kayla,Higgins,,
Maine,RSU 26,RSU 26,Meredith,Higgins,,
Maine,RSU 11/MSAD 11,RSU 11/MSAD 11,Patricia,Hopkins,,
Maine,RSU 14,RSU 14,Christopher,Howell,,
Maine,East Millinocket Public Schools,East Millinocket Public Schools,Mark,Jenkins,,
Maine,RSU 37/MSAD 37,RSU 37/MSAD 37,Kenneth,Johnson,,
Maine,MSAD 46,MSAD 46,Kevin,Jordan,,
Maine,Boothbay-Boothbay Hbr CSD,Boothbay-Boothbay Hbr CSD,Robert,Kahler,,
Maine,RSU 86/MSAD 20,RSU 86/MSAD 20,John,Blais,,
Maine,RSU 08/MSAD 08,RSU 08/MSAD 08,Katrina,Kane,,
Maine,Richmond Public Schools,Richmond Public Schools,Chad,Kempton,,
Maine,RSU 44/MSAD 44,RSU 44/MSAD 44,Mark,Kenney,,
Maine,Sebago Public Schools,Sebago Public Schools,Charlotte,Goscinski,,
Maine,Maine Arts Academy,Maine Arts Academy,Mary,King,,
Maine,Baxter Academy for Technology and Science,Baxter Academy for Technology and Science,Anna,Klein-Christie,,
Maine,Westbrook Public Schools,Westbrook Public Schools,Peter,Lancia,,
Maine,RSU 55/MSAD 55,RSU 55/MSAD 55,Carl,Landry,,
Maine,RSU 89/Millinocket Public Schools,RSU 89/Millinocket Public Schools,Shelley,Lane,,
Maine,Lewiston Public Schools,Lewiston Public Schools,Jake,Langlais,,
Maine,RSU 59/MSAD 59,RSU 59/MSAD 59,Bonnie,Levesque,,
Maine,RSU 28/MSAD 28,RSU 28/MSAD 28,Maria,Libby,,
Maine,RSU 53/MSAD 53,RSU 53/MSAD 53,Sharon,Littlefield,,
Maine,Eustis Public Schools,Eustis Public Schools,Barry,London,,
Maine,Fayette Public Schools,Fayette Public Schools,Courtney,Lyons,,
Maine,RSU 83/MSAD 13,RSU 83/MSAD 13,Sandra,MacArthur,,
Maine,RSU 80/MSAD 04,RSU 80/MSAD 04,Kelly,Macfadyen,,
Maine,RSU 17/MSAD 17,RSU 17/MSAD 17,Heather,Manchester,,
Maine,RSU 01,RSU 01,Patrick,Manuel,,
Maine,RSU 57/MSAD 57,RSU 57/MSAD 57,Stephen,Marquis,,
Maine,South Portland Public Schools,South Portland Public Schools,Timothy,Matheney,,
Maine,RSU 39,RSU 39,Jane,McCall,,
Maine,RSU 13,RSU 13,John,McDonald,,
Maine,Deer Isle - Stonington CSD,Deer Isle - Stonington CSD,Tara,McKechnie,,
Maine,RSU 52/MSAD 52,RSU 52/MSAD 52,Catherine,Medd,,
Maine,Woodland Public Schools,Woodland Public Schools,Karla,Michaud,,
Maine,RSU 20,RSU 20,Laua,Miller,,
Maine,Glenburn Public Schools,Glenburn Public Schools,Richard,Modery,,
Maine,RSU 54/MSAD 54,RSU 54/MSAD 54,Jonathan,Moody,,
Maine,Scarborough Public Schools,Scarborough Public Schools,Diane,Nadeau,,
Maine,Indian Island,Indian Island,Gholamreza,Namin,,
Maine,Sanford Public Schools,Sanford Public Schools,Matthew,Nelson,,
Maine,Falmouth Public Schools,Falmouth Public Schools,Steve,Nolan,,
Maine,RSU 75/MSAD 75,RSU 75/MSAD 75,Heidi,O'Leary,,
Maine,Brewer Public Schools,Brewer Public Schools,Gregg,Palmer,,
Maine,RSU 03/MSAD 03,RSU 03/MSAD 03,Paul,Penna,,
Maine,Blue Hill Public Schools,Blue Hill Public Schools,Derek,Perkins,,
Maine,Gorham Public Schools,Gorham Public Schools,Heather,Perry,,
Maine,Bangor Region 4,Bangor Region 4,Amanda,Peterson,,
Maine,Vassalboro Public Schools,Vassalboro Public Schools,Alan,Pfeiffer,,
Maine,RSU 51/MSAD 51,RSU 51/MSAD 51,Jeff,Porter,,
Maine,RSU 50,RSU 50,Jonathan,Porter,,
Maine,Brunswick Public Schools,Brunswick Public Schools,Phillip,Potenziano,,
