"lea_state","district_code","district","n_el","n_tot","missing","pct_el"
"VT","5000449","West River Valley Modified Union Education District #72A",2,207,2,0.01
"VT","5000450","Windsor Central Unified Union School District",0,950,5,0
"VT","5001770","Alburg School District",0,194,1,0
"VT","5001830","Arlington School District",1,386,1,0
"VT","5002610","Brighton School District",0,113,1,0
"VT","5002820","Burlington School District",372,3066,1,0.12
"VT","5002850","Cabot School District",0,164,1,0
"VT","5002910","Cambridge School District",4,259,0,0.02
"VT","5002940","Canaan School District",0,183,1,0
"VT","5003060","Charleston School District",0,115,1,0
"VT","5003240","Colchester School District",79,2158,0,0.04
"VT","5003360","Coventry School District",1,127,0,0.01
"VT","5003390","Craftsbury Town School District",0,207,1,0
"VT","5003450","Danville School District",0,380,1,0
"VT","5003480","Derby School District",0,457,1,0
"VT","5003930","Fairfax School District",1,963,1,0
"VT","5004080","Fletcher School District",0,102,1,0
